category,name,description,url
Analytics,Amazon Athena,Query Data in S3 using SQL,https://aws.amazon.com/athena/faqs
Analytics,Amazon CloudSearch,Managed Search Service,https://aws.amazon.com/cloudsearch/faqs
Analytics,Amazon Elasticsearch Service,Run and Scale Elasticsearch Clusters,https://aws.amazon.com/elasticsearch-service/faqs
Analytics,Amazon EMR,Hosted Hadoop Framework,https://aws.amazon.com/elasticmapreduce/faqs
Analytics,Amazon Kinesis,Work with Real-time Streaming Data,https://aws.amazon.com/kinesis/faqs
Analytics,Amazon Redshift,"Fast, Simple, Cost-effective Data Warehousing",https://aws.amazon.com/redshift/faqs
Analytics,Amazon Quicksight,Fast Business Analytics Service,https://aws.amazon.com/quicksight/faqs
Analytics,AWS Data Pipeline,"Orchestration Service for Periodic, Data-driven Workflows",https://aws.amazon.com/datapipeline/faqs
Analytics,AWS Glue,Prepare and Load Data,https://aws.amazon.com/glue/faqs
Analytics,Amazon Managed Streaming for Kafka,Fully managed Apache Kafka service,https://aws.amazon.com/msk/faqs
Analytics,AWS Lake Formation,Build a secure data lake in days,https://aws.amazon.com/lake-formation/faqs
Application Integration,AWS Step Functions,Coordinate Distributed Applications,https://aws.amazon.com/step-functions/faqs
Application Integration,Amazon Simple Queue Service (SQS) ,Managed Message Queues,https://aws.amazon.com/sqs/faqs
Application Integration,Amazon Simple Notification Service (SNS),"Pub/Sub, Mobile Push and SMS",https://aws.amazon.com/sns/faqs
Application Integration,Amazon MQ,Managed Message Broker for ActiveMQ,https://aws.amazon.com/amazon-mq/faqs
Application Integration,Amazon AppSync,Build data-driven apps with real-time and offline capabilities,https://aws.amazon.com/appsync/faqs
AR & VR,Amazon Sumerian,Build and Run VR and AR Applications,https://aws.amazon.com/sumerian/faqs
AWS Cost Management,AWS Cost Explorer,Analyze Your AWS Cost and Usage,https://aws.amazon.com/aws-cost-management/faqs
AWS Cost Management,AWS Budgets,Set Custom Cost and Usage Budgets,https://aws.amazon.com/aws-cost-management/faqs
AWS Cost Management,Reserved Instance Reporting,Dive Deeper into Your Reserved Instances (RIs),https://aws.amazon.com/aws-cost-management/faqs
AWS Cost Management,AWS Cost and Usage Report,Access Comprehensive Cost and Usage Information,https://aws.amazon.com/aws-cost-management/faqs
Blockchain,Amazon Managed Blockchain,Create and manage scalable blockchain networks,https://aws.amazon.com/blockchain/faqs
Blockchain,Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,https://aws.amazon.com/qldb/faqs
Business Applications,Alexa for Business,Empower your Organization with Alexa,https://aws.amazon.com/alexaforbusiness/faqs
Business Applications,Amazon Chime,"Frustration-free Meetings, Video Calls, and Chat",https://aws.amazon.com/chime/faqs
Business Applications,Amazon WorkMail,Secure and Managed Business Email and Calendaring,https://aws.amazon.com/workmail/faqs
Compute,Amazon EC2,Virtual Servers in the Cloud,https://aws.amazon.com/ec2/faqs
Compute,Amazon EC2 Auto Scaling,Scale Compute Capacity to Meet Demand,https://aws.amazon.com/ec2/faqs
Compute,Amazon Elastic Container Service,Run and Manage Docker Containers,https://aws.amazon.com/ecs/faqs
Compute,Amazon Elastic Container Service for Kubernetes,Run Managed Kubernetes on AWS,https://aws.amazon.com/eks/faqs
Compute,Amazon Elastic Container Registry,Store and Retrieve Docker Images,https://aws.amazon.com/ecr/faqs
Compute,Amazon Lightsail,Launch and Manage Virtual Private Servers,https://aws.amazon.com/lightsail/faqs
Compute,AWS Batch,Run Batch Jobs at Any Scale,https://aws.amazon.com/batch/faqs
Compute,AWS Elastic Beanstalk,Run and Manage Web Apps,https://aws.amazon.com/elasticbeanstalk/faqs
Compute,AWS Fargate,Run Containers without Managing Servers or Clusters,https://aws.amazon.com/fargate/faqs
Compute,AWS Lambda,Run your Code in Response to Events,https://aws.amazon.com/lambda/faqs
Compute,AWS Serverless Application Repository,"Discover, Deploy, and Publish Serverless Applications",https://aws.amazon.com/serverlessrepo/faqs
Compute,VMware Cloud on AWS,Build a Hybrid Cloud without Custom Hardware,https://aws.amazon.com/vmware/faqs
Compute,AWS Outposts,Run AWS services on-premises,https://aws.amazon.com/outposts/faqs
Compute,Elastic Load Balancing,Distribute incoming traffic across multiple targets,https://aws.amazon.com/elasticloadbalancing/faqs
Customer Engagement,Amazon Connect,Cloud-based Contact Center,https://aws.amazon.com/connect/faqs
Customer Engagement,Amazon Pinpoint,Personalized User Engagement Across Channels,https://aws.amazon.com/pinpoint/faqs
Customer Engagement,Amazon Simple Email Service (SES),Email Sending and Receiving,https://aws.amazon.com/ses/faqs
Database,Amazon Aurora,High Performance Managed Relational Database,https://aws.amazon.com/rds/faqs
Database,Amazon RDS,"Managed Relational Database Service for MySQL, PostgreSQL, Oracle, SQL Server, and MariaDB",https://aws.amazon.com/rds/faqs
Database,Amazon DynamoDB,Managed NoSQL Database,https://aws.amazon.com/dynamodb/faqs
Database,Amazon ElastiCache,In-memory Caching System,https://aws.amazon.com/elasticache/faqs
Database,Amazon Redshift,"Fast, Simple, Cost-effective Data Warehousing",https://aws.amazon.com/redshift/faqs
Database,Amazon Neptune ,Fully Managed Graph Database Service,https://aws.amazon.com/neptune/faqs
Database,AWS Database Migration Service,Migrate Databases with Minimal Downtime,https://aws.amazon.com/dms/faqs
Database,Amazon Timestream,Fully managed time series database,https://aws.amazon.com/timestream/faqs
Database,Amazon RDS on VMware,Automate on-premises database management,https://aws.amazon.com/rds/faqs
Database,Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,https://aws.amazon.com/qldb/faqs
Database,Amazon DocumentDB (with MongoDB compatibility),Fully managed document database,https://aws.amazon.com/documentdb/faqs
Developer Tools,AWS CodeStar,Develop and Deploy AWS Applications ,https://aws.amazon.com/codestar/faqs
Developer Tools,AWS CodeCommit,Store Code in Private Git Repositories,https://aws.amazon.com/codecommit/faqs
Developer Tools,AWS CodeBuild,Build and Test Code,https://aws.amazon.com/codebuild/faqs
Developer Tools,AWS CodeDeploy,Automate Code Deployment,https://aws.amazon.com/codedeploy/faqs
Developer Tools,AWS CodePipeline,Release Software using Continuous Delivery,https://aws.amazon.com/codepipeline/faqs
Developer Tools,AWS Cloud9,"Write, Run, and Debug Code on a Cloud IDE",https://aws.amazon.com/cloud9/faqs
Developer Tools,AWS X-Ray,Analyze and Debug Your Applications,https://aws.amazon.com/xray/faqs
Developer Tools,AWS Command Line Interface,Unified Tool to Manage AWS Services,https://aws.amazon.com/cli/faqs
Developer Tools,Amazon Corretto,Production-ready distribution of OpenJDK,https://aws.amazon.com/corretto/faqs
Developer Tools,AWS Tools and SDKs,Tools and SDKs for AWS,https://aws.amazon.com/getting-started/faqs
End User Computing,Amazon WorkSpaces,Desktop Computing Service,https://aws.amazon.com/workspaces/faqs
End User Computing,Amazon AppStream 2.0,Stream Desktop Applications Securely to a Browser,https://aws.amazon.com/appstream2/faqs
End User Computing,Amazon WorkDocs,Enterprise Storage and Sharing Service,https://aws.amazon.com/workdocs/faqs
End User Computing,Amazon WorkLink,Enable mobile access to internal websites,https://aws.amazon.com/worklink/faqs
Game Tech,Amazon GameLift,"Simple, Fast, Cost-effective Dedicated Game Server Hosting",https://aws.amazon.com/gamelift/faqs
Game Tech,Amazon Lumberyard,"A Free Cross-platform 3D Game Engine with Full Source, Integrated with AWS and Twitch",https://aws.amazon.com/lumberyard/faqs
Internet of Things,AWS IoT Core,Connect Devices to the Cloud,https://aws.amazon.com/iot-core/faqs
Internet of Things,Amazon FreeRTOS,IoT Operating System for Microcontrollers,https://aws.amazon.com/freertos/faqs
Internet of Things,AWS Greengrass,"Local Compute, Messaging, and Sync for Devices",https://aws.amazon.com/greengrass/faqs
Internet of Things,AWS IoT 1-Click,One Click Creation of an AWS Lambda Trigger,https://aws.amazon.com/iot-1-click/faqs
Internet of Things,AWS IoT Analytics,Analytics for IoT Devices,https://aws.amazon.com/iot-analytics/faqs
Internet of Things,AWS IoT Button,Cloud Programmable Dash Button,https://aws.amazon.com/iot/faqs
Internet of Things,AWS IoT Device Defender,Security Management for IoT Devices,https://aws.amazon.com/iot-device-defender/faqs
Internet of Things,AWS IoT Device Management,"Onboard, Organize, and Remotely Manage IoT Devices",https://aws.amazon.com/iot-device-management/faqs
Internet of Things,AWS IoT Events,IoT event detection and response,https://aws.amazon.com/iot-events/faqs
Internet of Things,AWS IoT SiteWise,IoT data collector and interpreter,https://aws.amazon.com/iot-sitewise/faqs
Internet of Things,AWS Partner Device Catalog,Curated catalog of AWS-compatible IoT hardware,https://aws.amazon.com/partners/faqs
Internet of Things,AWS IoT Things Graph,Easily connect devices and web services,https://aws.amazon.com/iot-things-graph/faqs
Machine Learning,Amazon SageMaker,"Build, Train, and Deploy Machine Learning Models at Scale",https://aws.amazon.com/sagemaker/faqs
Machine Learning,Amazon Comprehend,Discover Insights and Relationships in Text,https://aws.amazon.com/comprehend/faqs
Machine Learning,Amazon Lex,Build Voice and Text Chatbots,https://aws.amazon.com/lex/faqs
Machine Learning,Amazon Polly,Turn Text into Lifelike Speech,https://aws.amazon.com/polly/faqs
Machine Learning,Amazon Rekognition,Analyze Image and Video,https://aws.amazon.com/rekognition/faqs
Machine Learning,Amazon Translate,Natural and Fluent Language Translation,https://aws.amazon.com/translate/faqs
Machine Learning,Amazon Transcribe,Automatic Speech Recognition,https://aws.amazon.com/transcribe/faqs
Machine Learning,AWS DeepLens,Deep Learning Enabled Video Camera,https://aws.amazon.com/deeplens/faqs
Machine Learning,AWS Deep Learning AMIs,Quickly Start Deep Learning on EC2,https://aws.amazon.com/machine-learning/faqs
Machine Learning,Apache MXNet on AWS,"Scalable, High-performance Deep Learning",https://aws.amazon.com/mxnet/faqs
Machine Learning,TensorFlow on AWS,Open-source Machine Intelligence Library,https://aws.amazon.com/tensorflow/faqs
Machine Learning,Amazon Personalize,Build real-time recommendations into your applications,https://aws.amazon.com/personalize/faqs
Machine Learning,Amazon Forecast,Increase forecast accuracy using machine learning,https://aws.amazon.com/forecast/faqs
Machine Learning,Amazon Inferentia,Machine learning inference chip,https://aws.amazon.com/inferentia/faqs
Machine Learning,Amazon Textract,Extract text and data from documents,https://aws.amazon.com/textract/faqs
Machine Learning,Amazon Elastic Inference,Deep learning inference acceleration,https://aws.amazon.com/elastic-inference/faqs
Machine Learning,Amazon SageMaker Ground Truth,Build accurate ML training datasets,https://aws.amazon.com/sagemaker/faqs
Machine Learning,AWS DeepRacer,"Autonomous 1/18th scale race car, driven by ML",https://aws.amazon.com/deepracer/faqs
Management & Governance,Amazon CloudWatch,Monitor Resources and Applications,https://aws.amazon.com/cloudwatch/faqs
Management & Governance,AWS Auto Scaling,Scale Multiple Resources to Meet Demand,https://aws.amazon.com/autoscaling/faqs
Management & Governance,AWS CloudFormation,Create and Manage Resources with Templates,https://aws.amazon.com/cloudformation/faqs
Management & Governance,AWS CloudTrail,Track User Activity and API Usage,https://aws.amazon.com/cloudtrail/faqs
Management & Governance,AWS Config,Track Resource Inventory and Changes,https://aws.amazon.com/config/faqs
Management & Governance,AWS OpsWorks,Automate Operations with Chef and Puppet,https://aws.amazon.com/opsworks/faqs
Management & Governance,AWS Service Catalog,Create and Use Standardized Products,https://aws.amazon.com/servicecatalog/faqs
Management & Governance,AWS Systems Manager,Gain Operational Insights and Take Action,https://aws.amazon.com/systems-manager/faqs
Management & Governance,AWS Trusted Advisor,Optimize Performance and Security,https://aws.amazon.com/trustedadvisor/faqs
Management & Governance,AWS Personal Health Dashboard,Personalized View of AWS Service Health,https://aws.amazon.com/premiumsupport/faqs
Management & Governance,AWS Control Tower,"Set up and govern a secure, compliant, multi-account environment",https://aws.amazon.com/controltower/faqs
Management & Governance,AWS License Manager,"Track, manage, and control licenses",https://aws.amazon.com/license-manager/faqs
Management & Governance,AWS Well-Architected Tool,Review and improve your workloads,https://aws.amazon.com/well-architected-tool/faqs
Management & Governance,AWS Command Line Interface,Unified tool to manage AWS services,https://aws.amazon.com/cli/faqs
Management & Governance,AWS Console Mobile Application,Access resources on the go,https://aws.amazon.com/console/faqs
Management & Governance,AWS Management Console,Web-based user interface,https://aws.amazon.com/console/faqs
Management & Governance,AWS Managed Services,Infrastructure operations management for AWS,https://aws.amazon.com/managed-services/faqs
Media Services,Amazon Elastic Transcoder,Easy-to-use Scalable Media Transcoding,https://aws.amazon.com/elastictranscoder/faqs
Media Services,Amazon Kinesis Video Streams,Process and Analyze Video Streams,https://aws.amazon.com/kinesis/faqs
Media Services,AWS Elemental MediaConvert,Convert File-based Video Content,https://aws.amazon.com/mediaconvert/faqs
Media Services,AWS Elemental MediaLive,Convert Live Video Content,https://aws.amazon.com/medialive/faqs
Media Services,AWS Elemental MediaPackage,Video Origination and Packaging,https://aws.amazon.com/mediapackage/faqs
Media Services,AWS Elemental MediaStore,Media Storage and Simple HTTP Origin,https://aws.amazon.com/mediastore/faqs
Media Services,AWS Elemental MediaTailor,Video Personalization and Monetization,https://aws.amazon.com/mediatailor/faqs
Media Services,AWS Elemental MediaConnect,Reliable and secure live video transport,https://aws.amazon.com/mediaconnect/faqs
Migration & Transfer,AWS Application Discovery Service,Discover On-Premises Applications to Streamline Migration,https://aws.amazon.com/application-discovery/faqs
Migration & Transfer,AWS Database Migration Service,Migrate Databases with Minimal Downtime,https://aws.amazon.com/dms/faqs
Migration & Transfer,AWS Migration Hub,Track Migrations from a Single Place,https://aws.amazon.com/migration-hub/faqs
Migration & Transfer,AWS Server Migration Service ,Migrate On-Premises Servers to AWS,https://aws.amazon.com/server-migration-service/faqs
Migration & Transfer,AWS Snowball Family,Physical devices to migrate data into and out of AWS,https://aws.amazon.com/snow/faqs
Migration & Transfer,AWS DataSync,"Simple, fast, online data transfer",https://aws.amazon.com/datasync/faqs
Migration & Transfer,AWS Transfer for SFTP,Fully managed SFTP service,https://aws.amazon.com/sftp/faqs
Mobile,AWS Amplify,Build and deploy mobile and web applications,https://aws.amazon.com/amplify/faqs
Mobile,Amazon API Gateway,"Build, Deploy, and Manage APIs",https://aws.amazon.com/api-gateway/faqs
Mobile,Amazon Pinpoint,Personalized User Engagement Across Channels,https://aws.amazon.com/pinpoint/faqs
Mobile,AWS AppSync,Real-time and Offline Mobile Data Apps,https://aws.amazon.com/appsync/faqs
Mobile,AWS Device Farm,"Test Android, FireOS, and iOS Apps on Real Devices in the Cloud",https://aws.amazon.com/device-farm/faqs
Networking & Content Delivery,Amazon VPC,Isolated Cloud Resources,https://aws.amazon.com/vpc/faqs
Networking & Content Delivery,Amazon VPC PrivateLink,Securely Access Services Hosted on AWS,https://aws.amazon.com/privatelink/faqs
Networking & Content Delivery,Amazon CloudFront,Global Content Delivery Network,https://aws.amazon.com/cloudfront/faqs
Networking & Content Delivery,Amazon Route 53,Scalable Domain Name System,https://aws.amazon.com/route53/faqs
Networking & Content Delivery,Amazon API Gateway,"Build, Deploy, and Manage APIs",https://aws.amazon.com/api-gateway/faqs
Networking & Content Delivery,AWS Direct Connect,Dedicated Network Connection to AWS,https://aws.amazon.com/directconnect/faqs
Networking & Content Delivery,AWS Cloud Map,Application resource registry for microservices,https://aws.amazon.com/cloud-map/faqs
Networking & Content Delivery,AWS App Mesh,Monitor and control microservices,https://aws.amazon.com/app-mesh/faqs
Networking & Content Delivery,AWS Transit Gateway,Easily scale VPC and account connections,https://aws.amazon.com/transit-gateway/faqs
Networking & Content Delivery,AWS Global Accelerator,Improve application availability and performance,https://aws.amazon.com/global-accelerator/faqs
Robotics,AWS RoboMaker,"Develop, test, and deploy robotics applications",https://aws.amazon.com/robomaker/faqs
Satellite,AWS Ground Station,Fully managed ground station as a service,https://aws.amazon.com/ground-station/faqs
"Security, Identity & Compliance",AWS Identity &amp; Access Management,Manage User Access and Encryption Keys,https://aws.amazon.com/iam/faqs
"Security, Identity & Compliance",Amazon Cloud Directory,Create Flexible Cloud-native Directories,https://aws.amazon.com/cloud-directory/faqs
"Security, Identity & Compliance",Amazon Cognito,Identity Management for your Apps,https://aws.amazon.com/cognito/faqs
"Security, Identity & Compliance",AWS Single Sign-On,Cloud Single Sign-On (SSO) Service,https://aws.amazon.com/single-sign-on/faqs
"Security, Identity & Compliance",Amazon GuardDuty,Managed Threat Detection Service,https://aws.amazon.com/guardduty/faqs
"Security, Identity & Compliance",Amazon Inspector,Analyze Application Security,https://aws.amazon.com/inspector/faqs
"Security, Identity & Compliance",Amazon Macie,"Discover, Classify, and Protect your Data",https://aws.amazon.com/macie/faqs
"Security, Identity & Compliance",AWS Certificate Manager,"Provision, Manage, and Deploy SSL/TLS Certificates",https://aws.amazon.com/certificate-manager/faqs
"Security, Identity & Compliance",AWS CloudHSM,Hardware-based Key Storage for Regulatory Compliance,https://aws.amazon.com/cloudhsm/faqs
"Security, Identity & Compliance",AWS Directory Service,Host and Manage Active Directory,https://aws.amazon.com/directoryservice/faqs
"Security, Identity & Compliance",AWS Firewall Manager,Central Management of Firewall Rules,https://aws.amazon.com/firewall-manager/faqs
"Security, Identity & Compliance",AWS Key Management Service,Managed Creation and Control of Encryption Keys,https://aws.amazon.com/kms/faqs
"Security, Identity & Compliance",AWS Organizations,Policy-based Management for Multiple AWS Accounts,https://aws.amazon.com/organizations/faqs
"Security, Identity & Compliance",AWS Secrets Manager,"Rotate, Manage, and Retrieve Secrets",https://aws.amazon.com/secrets-manager/faqs
"Security, Identity & Compliance",AWS Shield,DDoS Protection,https://aws.amazon.com/shield/faqs
"Security, Identity & Compliance",AWS WAF,Filter Malicious Web Traffic,https://aws.amazon.com/waf/faqs
"Security, Identity & Compliance",AWS Artifact,On-demand access to AWS compliance reports,https://aws.amazon.com/artifact/faqs
"Security, Identity & Compliance",AWS Security Hub,Unified security and compliance center,https://aws.amazon.com/security-hub/faqs
Storage,Amazon Simple Storage Service (S3),Scalable Storage in the Cloud,https://aws.amazon.com/s3/faqs
Storage,Amazon Elastic Block Store (EBS),EC2 block storage volumes,https://aws.amazon.com/ebs/faqs
Storage,Amazon Elastic File System (EFS),Fully managed file system for EC2,https://aws.amazon.com/efs/faqs
Storage,Amazon S3 Glacier,Low-cost Archive Storage in the Cloud,https://aws.amazon.com/glacier1/faqs
Storage,AWS Storage Gateway,Hybrid Storage Integration,https://aws.amazon.com/storagegateway/faqs
Storage,AWS Snow Family,Physical devices to migrate data into and out of AWS,https://aws.amazon.com/snow/faqs
Storage,Amazon FSx for Lustre,Fully managed compute-intensive file system,https://aws.amazon.com/fsx/faqs
Storage,Amazon FSx for Windows File Server,Fully managed Windows native file system,https://aws.amazon.com/fsx/faqs
Storage,AWS Backup,Centralized backup across AWS services,https://aws.amazon.com/backup/faqs
